Section,Discription,Bail,Punishment,Triable_By,Congizance,Unnamed: 7,Offence
IPC Section 304A,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Bailable,2 Years or Fine or Both,Magistrate First Class,Cognizable,,Causing death by rash or negligent act
IPC Section 304B,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",,,,,,
IPC Section 305,"
I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Non-Bailable,Death or Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable,,"Abetment of suicide committed by child or insane or delirious person or an idiot, or a person intoxicated"
IPC Section 306,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.",Non-Bailable,10 Years + Fine,Court of Session,Cognizable,,Abetting the Commission of suicide
IPC Section 307,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.","
Non-Bailable
Non-Bailable
Non-Bailable
","
10 Years + Fine
Imprisonment for Life or 10 Years + Fine
Death or 10 Years + Fine
","
Court of Session
Court of Session
Court of Session
","
Cognizable
Cognizable
Cognizable
",,"
Attempt to murder
If such act causes hurt to any person
Attempt by life-convict to murder, if hurt is caused
"
IPC Section 308,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.","
Non-Bailable
Non-Bailable
","
3 Years or Fine or Both
7 Years or Fine or Both
","
Court of Session
Court of Session
","
Cognizable
Cognizable
",,"
Attempt to commit culpable homicide
If such act causes hurt to Any person
"
IPC Section 309,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Bailable,Simple Imprisonment for 1 Year or Fine or Both,Any Magistrate,Cognizable,,Attempt to commit suicide
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
IPC Section 316,"Whoever does any act under such circumstances, that if he thereby caused death he would be guilty of culpable homicide, and does by such act cause the death of a quick unborn child, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,10 Years and Fine,Court of Session,Cognizable,,Causing death of a quick unborn child by an act amounting to culpable homicide
IPC Section 317,"Whoever being the father or mother of a child under the age of twelve years, or having the care of such child, shall expose or leave such child in any place with the intention of wholly abandoning such child, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",Bailable,7 Years or Fine or Both,Magistrate First Class; Session in M.P.,Cognizable,,Exposure of a child under 12 Years of age by parent or person having care of it with intention of wholly abandoning it
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
IPC Section 324,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Non-Bailable,3 Years or Fine or Both,Any Magistrate,Cognizable,,Voluntarily causing hurt by dangerous weapons or means
IPC Section 325,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Bailable,7 Years + Fine,Any Magistrate,Cognizable,,Voluntarily causing grievous hurt
IPC Section 326,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Magistrate First Class; Session in M.P.,Cognizable,,Voluntarily causing grievous hurt by dangerous weapons or means
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
IPC Section 333,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Non-Bailable,10 Years + Fine,Court of Session,Cognizable,,Voluntarily causing grievous hurt to deter public servant from his duty
IPC Section 334,"Whoever voluntarily causes hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause hurt to any person other than the person who gave the provocation, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.",Bailable,1 Month or Fine or Both,Any Magistrate,Non-Cognizable,,"Voluntarily causing hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation"
IPC Section 335,,Bailable,4 Years or Fine or Both,Magistrate First Class,Cognizable,,"Causing grievous hurt on Grave and sudden provocation, not intending to hurt and other than the person who gave the provocation"
IPC Section 336,"Whoever does any act so rashly or negligently as to endanger human life or the personal safety others, shall be punished with imprisonment of either description for a term which may extend to three months or with fine which may extend to two hundred and fifty rupees, or with both.",Bailable,3 Months or Fine or Both,Any Magistrate,Cognizable,,Doing any act which endangers human life or the personal safety of others
IPC Section 337,"Whoever causes hurt to any person by doing any act so rashly or negligently as to endanger human life, or the personal safety of others, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to five hundred rupees, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable,,"Causing hurt by an act which endangers human life, etc."
IPC Section 338,,Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable,,"Causing grievous hurt by an act which endangers human life, etc."
IPC Section 339,,,,,,,
IPC Section 340,,,,,,,
IPC Section 341,"Whoever wrongfully restrains any person shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.",Bailable,Simple Imprisonment for 1 Month or Fine or Both,Any Magistrate,Cognizable,,Wrongfully restraining any person
IPC Section 342,"Whoever wrongfully confines any person shall be punished with simple imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both.",Bailable,1 Year or Fine or Both,Any Magistrate,Cognizable,,Wrongfully confining any person
IPC Section 343,"Whoever wrongfully confines any person for three days or more, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable,,Wrongfully confining for 3 or more days
IPC Section 344,"Whoever wrongfully confines any person for ten days, or more, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Bailable,3 Years + Fine,Any Magistrate,Cognizable,,Wrongfully confining for 10 or more days
IPC Section 345,"Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter.",Bailable,2 Years in addition to imprisonment under any other section,Magistrate First Class,Cognizable,,"Keeping any person in wrongful confinement, knowing that a writ has been issued for his liberation"
IPC Section 346,"Whoever wrongfully confines any person in such manner as to indicate an intention that the confinement of such person may not be known to any person interested in the person so confined, or to any public servant, or that the place of such confinement may not be known to or discovered by any such person or public servant as hereinbefore mentioned, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any other punishment to which he may be liable for such wrongful confinement.",Bailable,2 Years in addition to imprisonment under any other section,Magistrate First Class,Cognizable,,Wrongful confinement in secret
IPC Section 347,"Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to give any information which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Bailable,3 Years + Fine,Any Magistrate,Cognizable,,"Wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc."
IPC Section 348,"Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Bailable,3 Years + Fine,Any Magistrate,Cognizable,,"Wrongful confinement for the purpose of extorting confession or information, or of compelling restoration of property etc."
IPC Section 349,,,,,,,
IPC Section 350,,,,,,,
IPC Section 351,,,,,,,
IPC Section 352,"Whoever assaults or uses criminal force to any person otherwise than on grave and sudden provocation given by that person, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",Bailable,3 Months or Fine or Both,Any Magistrate,Non-Cognizable,,Assault or use of criminal force otherwise than on grave provocation
IPC Section 353,"Whoever assaults or uses criminal force to any person being a public servant in the execution of his duty as such public servant, or with intent to prevent or deter that person from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by such person to the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Non-Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable,,Assault or use of criminal force to deter a public servant from discharge of his duty
IPC Section 354,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Cognizable,Assault or use of criminal force to woman with intent to outrage her modesty,Non-bailable,1 to 5 years + Fine,,
IPC Section 354A,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.","
Cognizable
Cognizable
","
Sexual harassment of the nature of unwelcome physical contact and advances or a demand or request for sexual favours or showing pornography
Sexual harassment of the nature of making sexually coloured remark
","
Bailable
Bailable
","
Upto 3 years or Fine or Both
Upto 1 year or Fine or Both
",,"
physical contact and advances involving unwelcome and explicit sexual overtures; or
a demand or request for sexual favours; or
showing pornography against the will of a woman; or
making sexually coloured remarks, shall be guilty of the offence of sexual harassment1.
"
IPC Section 354B,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.",Cognizable,Criminal force to woman with intent to disrobe,Non-bailable,3 to 7 years + Fine,,
IPC Section 354C,"I am reaching out to you concerning Yashpal, who is facing an unexpected predicament necessitating your attention and understanding. Yashpal, a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. Yashpal is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering Yashpal's situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. Yashpal's integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, Yashpal can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, Yashpal will receive the fair consideration he rightfully deserves.","
Bailable
Non-bailable
","
1 to 3 years + Fine for first conviction
3 to 7 years + Fine for second or subsequent conviction
","
Any Magistrate
Any Magistrate
","
Cognizable
Cognizable
",,"
For the purpose of this section, ?rivate act?includes an act of watching carried out in a place which, in the circumstances, would reasonably be expected to provide privacy and where the victim? genitals, posterior or breasts are exposed or covered only in underwear; or the victim is using a lavatory; or the victim is doing a sexual act that is not of a kind ordinarily done in public.
Where the victim consents to the capture of the images or any act, but not to their dissemination to third persons and where such image or act is disseminated, such dissemination shall be considered an offence under this section.
"
IPC Section 354D,"I am reaching out to you concerning [Yashpal], who is facing an unexpected predicament necessitating your attention and understanding. [Yashpal], a law-abiding citizen with an unblemished record, finds himself inadvertently entangled in a situation that has led to uncertainty and distress. Despite his earnest efforts to adhere to the law, unforeseen circumstances have ensnared him in a matter where his involvement is unintentional. [Yashpal] is fully cooperating with the authorities, eager to contribute to resolving the issue in accordance with legal procedures. His commitment to integrity remains unwavering, and he is prepared to provide any assistance required to clarify his position and dispel any misunderstandings. In this challenging time, I appeal to your compassion and fairness in considering [Yashpal]'s situation. He seeks no special treatment but merely a fair opportunity to present his case and address any misconceptions that may have arisen. [Yashpal]'s integrity and reputation are of paramount importance to him, and he is determined to navigate through this ordeal with dignity and rectitude. Therefore, I implore you to review his circumstances with empathy and fairness. Your understanding and support in this matter would be deeply appreciated. With your assistance, [Yashpal] can emerge from this challenging period with his integrity intact. Thank you for your attention to this request. I remain hopeful that with your intervention, [Yashpal] will receive the fair consideration he rightfully deserves.","
Bailable
Non-bailable
","
Upto 3 years + Fine for first conviction
Upto 5 years + Fine for second or subsequent conviction
","
Any Magistrate
Any Magistrate
","
Cognizable
Cognizable
",,"
it was pursued for the purpose of preventing or detecting crime and the man accused of stalking had been entrusted with the responsibility of prevention and detection of crime by the State; or
it was pursued under any law or to comply with any condition or requirement imposed by any person under any law; or
in the particular circumstances such conduct was reasonable and justified.
"
IPC Section 355,"Whoever assaults or uses criminal force to any person, intending thereby to dishonour that person, otherwise than on grave and sudden provocation given by that person, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable,,"Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation"
IPC Section 356,,Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable,,Assault or criminal force in attempt to commit theft of property worn or carried by a person
IPC Section 357,"Whoever assaults or uses criminal force to any person, in attempting wrongfully to confine that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both.",Bailable,1 Year or Fine or Both,Any Magistrate,Cognizable,,Assault or use of criminal Force in attempt wrongfully to confine a person
IPC Section 358,"Whoever assaults or uses criminal force to any person on grave and sudden provocation given by that person, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.",Bailable,Simple Imprisonment for 1 Month or Fine or Both,Any Magistrate,Non-Cognizable,,Assault or use of criminal force on grave and sudden provocation
IPC Section 359,,,,,,,
IPC Section 360,,,,,,,
IPC Section 361,,,,,,,
IPC Section 362,,,,,,,
IPC Section 363,,Bailable,7 Years + Fine,Magistrate First Class,Cognizable,,Kidnapping
IPC Section 363A,,"
Kidnapping or obtaining the custody of a minor in order that such minor may be employed or used for purposes of begging
Maiming a minor in order that such minor may be employed or used for purposes of begging
","
soliciting or receiving alms in a public place, whether under the pretence of singing, dancing, fortunetelling, performing tricks or selling articles or otherwise;
entering on any private premises for the purpose of soliciting or receiving alms;
exposing or exhibiting, with the object of obtaining or extorting alms, any sore, wound, injury, deformity or disease, whether of himself or of any other person or of an animal;
using a minor as an exhibit for the purpose of soliciting or receiving alms;
","
10 Years + Fine.
Imprisonment for Life + Fine
","
in the case of a male, a person under sixteen years of age; and
in the case of a female, a person under eighteen years of age.
",,"
?egging?means:
			
soliciting or receiving alms in a public place, whether under the pretence of singing, dancing, fortunetelling, performing tricks or selling articles or otherwise;
entering on any private premises for the purpose of soliciting or receiving alms;
exposing or exhibiting, with the object of obtaining or extorting alms, any sore, wound, injury, deformity or disease, whether of himself or of any other person or of an animal;
using a minor as an exhibit for the purpose of soliciting or receiving alms;

?inor?means:
			
in the case of a male, a person under sixteen years of age; and
in the case of a female, a person under eighteen years of age.

"
IPC Section 364,,Non-Bailable,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,Court of Session,Cognizable,,Kidnapping or abducting in order to murder
IPC Section 364A,"Complaint for IPC Section 364A
To,
The Station House Officer,
[Police Station Name],
[Address],
[City, State, ZIP Code]

Subject: Complaint for Kidnapping for Ransom

Respected Sir/Madam,

I, [Your Name], residing at [Your Address], am filing this complaint regarding an incident that occurred on [Date of Incident] at [Time of Incident]. This incident involves kidnapping for ransom, as outlined under Section 364A of the Indian Penal Code.

Description of the Incident:
On the aforementioned date and time, I, along with several witnesses, observed an individual, identified as [Name(s) of the accused, if known], forcibly taking [Name of the victim] away from [location] with the intent to demand ransom. The accused threatened to harm or kill the victim unless a ransom was paid, evidenced by [provide details of any statements made or actions observed that indicate the demand for ransom]. Additionally, please include any pertinent contextual information such as the manner in which the kidnapping was carried out, the amount of ransom demanded, and any witnesses to the incident.",Non-Bailable,Death or Life + Fine,Court of Session,Cognizable,,"Kidnapping for ransom, etc."
IPC Section 365,,Non-Bailable,7 Years + Fine,Magistrate First Class,Cognizable,,Kidnapping or abducting with intent secretly and wrongfully to confine a person
