Section,Offence,Discription,Bail,Punishment,Triable_By,Congizance
IPC Section 280,"Navigating any vessel so rashly or negligently as to endanger human life, etc.","Whoever navigates any vessel in a manner so rash or negligent to endanger human life, or to be likely to cause hurt or injury to any other person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 281,"Exhibition of a false light, mark or buoy","Whoever exhibits any false light, mark or buoy, intending or knowing it to be likely that such exhibition will mislead any navigator, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",Bailable,7 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 282,"Conveying for hire any person by water, in a vessel in such a state, or so loaded, as to endanger his life","Whoever knowingly or negligently conveys, or causes to be conveyed for hire, any person by water in any vessel, when that vessel is in such a state or so loaded as to endanger the life of that person, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 283,"Causing danger, obstruction or, injury in any public way or line of navigation","Whoever, by doing any act, or by omitting to take order with any property in his possession or under his charge, causes danger, obstruction or injury to any person in any public way or public line of navigation, shall be punished, with fine which may extend to two hundred rupees.",Bailable,Fine,Any Magistrate,Cognizable
IPC Section 284,"Dealing with any poisonous substance so as to endanger human life, etc.","Whoever does, with any poisonous substance, any act in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to any person, or knowingly or negligently omits to take such order with any poisonous substance in his possession as is sufficient to guard against probable danger to human life from such poisonous substance, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 285,"Dealing with fire or any combustible matter so as to endanger human life, etc.","Whoever does, with fire or any combustible matter, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any fire or any combustible matter in his possession as is sufficient to guard against any probable danger to human life from such fire or combustible matter, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 286,So dealing with any explosive substance,"Whoever does, with any explosive substance, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any explosive substance in his possession as is sufficient to guard against any probable danger to human life from that substance, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 287,So dealing with any machinery,"Whoever does, with any machinery, any act so rashly or negligently as to endanger human life or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any machinery in his possession or under his care as is sufficient to guard against any probable danger to human life from such machinery, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 288,A person omitting to guard against probable danger to human life by the fall of any building over which he has a right entitling him to pull it down or repair it,"Whoever, in pulling down or repairing any building, knowingly or negligently omits to take such order with that building as is sufficient to guard against any probable danger to human life from the fall of that building, or of any part thereof, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 289,"A person omitting to take order with any animal in his possession, so as to guard against danger to human life, or of grievous hurt, from such animal","Whoever knowingly or negligently omits to take such order with any animal in his possession as is sufficient to guard against any probable danger to human life, or any probable danger of grievous hurt from such animal, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 290,Committing a public nuisance,"Whoever commits a public nuisance in any case not otherwise punishable by this Code, shall be punished with fine which may extend to two hundred rupees.",Bailable,Fine,Any Magistrate,Non-Cognizable
IPC Section 291,Committing a nuisance after injunction to discontinue,"Whoever repeats or continues a public nuisance, having been enjoined by any public servant who has lawful authority to issue such injunction not to repeat or continue such nuisance, shall be punished with simple imprisonment for a term which may extend to six months, or with fine, or with both.",Bailable,"Simple Imprisonment for 6 Months, or Fine, or Both",Any Magistrate,Cognizable
IPC Section 292,,,,,,
IPC Section 293,"Sale etc., of obscene objects to young persons","Whoever sells, lets to hire, distributes, exhibits or circulates to any person under the age of twenty years any such obscene object as is referred to in the last preceding section, or offers or attempts so to do, shall be punished on first conviction with imprisonment of either description for a term which may extend to three years, and with fine which may extend to two thousand rupees, and, in the event of a second or subsequent conviction, with imprisonment of either description for a term which may extend to seven years, and also with fine which may extend to five thousand rupees.",Bailable,"First conviction 3 Years + Fine, then 7 Years + Fine",Any Magistrate,Cognizable
IPC Section 294,Obscene Songs,,Bailable,3 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 294A,"
Keeping a lottery office
Publishing proposal relating to lotteries
","Whoever keeps any office or place for the purpose of drawing any lottery not being a State lottery or a lottery authorised by the State Government, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both.","
Bailable
Bailable
","
6 Months or Fine or Both
Fine
","
Any Magistrate
Any Magistrate
","
Non-Cognizable
Non-Cognizable
"
IPC Section 295,"Destroying, damaging or defiling a place of worship or sacred object with intent to insult the religion of any class of persons","Whoever destroys, damages or defiles any place of worship, or any object held sacred by any class of persons with the intention of thereby insulting the religion of any class of persons or with the knowledge that any class of persons is likely to consider such destruction, damage or defilement as an insult to their religion, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Non-Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable
IPC Section 295A,Maliciously insulting the religions or the religious beliefs of any class,"Whoever, with deliberate and malicious intention of outraging the religious feelings of any class of citizens of India, by words, either spoken or written, or by signs or by visible representations or otherwise insults or attempts to insult the religion or the religious beliefs of that class, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Non-Bailable,3 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 296,Causing a disturbance to an assembly engaged in religious worship,"Whoever voluntarily causes disturbance to any assembly lawfully engaged in the performance of religious worship, or religious ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",Bailable,1 Year or Fine or Both,Any Magistrate,Cognizable
IPC Section 297,"Trespassing in place of worship or sepulchre, disturbing funeral with intention to wound the feeling or to insult the religion of any person, or offering indignity to a human corpse","Whoever, with the intention of wounding the feelings of any person, or of insulting the religion of any person, or with the knowledge that the feelings of any person are likely to be wounded, or that the religion of any person is likely to be insulted thereby, commits any trespass in any place of worship or on any place of sepulture, or any place set apart for the performance of funeral rites or as a depository for the remains of the dead, or offers any indignity to any human corpse, or causes disturbance to any persons assembled for the performance of funeral ceremonies, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",Non-Bailable,1 Year or Fine or Both,Any Magistrate,Cognizable
IPC Section 298,"Uttering any word or making any sound in the hearing or making any gesture, or placing any object in the sight of any person, with intention to wound his religious feelings","Whoever, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that person or places any object in the sight of that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.",Non-Bailable,1 Year or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 299,,,,,,
IPC Section 300,,,,,,
IPC Section 301,,,,,,
IPC Section 302,Murder,,Non-Bailable,Death or Imprisonment for Life + Fine,Court of Session,Cognizable
IPC Section 303,Murder by a person under Sentence of imprisonment for life,"Whoever, being under sentence of imprisonment for life, commits murder, shall be punished with death.",Non-Bailable,Death,Court of Session,Cognizable
IPC Section 304,"Or with imprisonment of either description for a term which may extend to ten years, or with fine, or with both, if the act is done with the knowledge that it is likely to cause death, but without any intention to cause death, or to cause such bodily injury as is likely to cause death.","Whoever commits culpable homicide not amounting to murder shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine, if the act by which the death is caused is done with the intention of causing death, or of causing such bodily injury as is likely to cause death;",2 Years or Fine or Both,"Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Cognizable,Causing death by rash or negligent act
IPC Section 304A,Causing death by rash or negligent act,"Whoever causes the death of any person by doing any rash or negligent act not amounting to culpable homicide shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 304B,,,,,,
IPC Section 305,"Abetment of suicide committed by child or insane or delirious person or an idiot, or a person intoxicated","If any person under eighteen years of age, any insane person, any delirious person, any idiot, or any person in a state of intoxication commits suicide, whoever abets the commission of such suicide, shall be punished with death or imprisonment for life, or imprisonment for a term not exceeding ten years, and shall also be liable to fine.",Non-Bailable,Death or Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 306,Abetting the Commission of suicide,"If any person commits suicide, whoever abets the commission of such suicide, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,10 Years + Fine,Court of Session,Cognizable
IPC Section 307,"
Attempt to murder
If such act causes hurt to any person
Attempt by life-convict to murder, if hurt is caused
","Whoever does any act with such intention or knowledge, and under such circumstances that, if he by that act caused death, he would be guilty of murder, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine; and, if hurt is caused to any person by such act, the offender shall be liable either to imprisonment for life, or to such punishment as is hereinbefore mentioned.","
Non-Bailable
Non-Bailable
Non-Bailable
","
10 Years + Fine
Imprisonment for Life or 10 Years + Fine
Death or 10 Years + Fine
","
Court of Session
Court of Session
Court of Session
","
Cognizable
Cognizable
Cognizable
"
IPC Section 308,"
Attempt to commit culpable homicide
If such act causes hurt to Any person
","Whoever does any act with such intention or knowledge and under such circumstances that, if he by that act caused death, he would be guilty of culpable homicide not amounting to murder, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if hurt is caused to any person by such act, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.","
Non-Bailable
Non-Bailable
","
3 Years or Fine or Both
7 Years or Fine or Both
","
Court of Session
Court of Session
","
Cognizable
Cognizable
"
IPC Section 309,Attempt to commit suicide,"Whoever attempts to commit suicide and does any act towards the commission of such offence, shall be punished with simple imprisonment for a term which may extend to one year or with fine, or with both.",Bailable,Simple Imprisonment for 1 Year or Fine or Both,Any Magistrate,Cognizable
IPC Section 310,,,,,,
IPC Section 311,Being a thug,"Whoever is a thug, shall be punished with imprisonment for life, and shall also be liable to fine.",Non-Bailable,Imprisonment for life and Fine,Court of Session,Cognizable
IPC Section 312,"
Causing miscarriage
If the woman be quick with child
","Whoever voluntarily causes a woman with child to miscarry, shall if such miscarriage be not caused in good faith for the purpose of saving the life of the woman, be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if the woman be quick with child, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.","
Bailable
Bailable
","
3 Years or Fine or Both
7 Years + Fine
","
Magistrate First Class
Magistrate First Class
","
Non-Cognizable
Non-Cognizable
"
IPC Section 313,Causing miscarriage without woman’s consent,"Whoever commits the offence defined in the last preceding section without the consent of the woman, whether the woman is quick with child or not, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 314,"
Death caused by an act done with intent to cause miscarriage
If act done without woman’s consent
","Whoever, with intent to cause the miscarriage of a woman with child, does any act which causes the death of such woman, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine;","
Non-Bailable
Non-Bailable
","
10 Years + Fine
Life or 10 Years + Fine
","
Court of Session
Court of Session
","
Cognizable
Cognizable
"
IPC Section 315,"Act done with intent to prevent a child being born alive, or to cause it to die after its birth","Whoever before the birth of any child does any act with the intention of thereby preventing that child from being born alive or causing it to die after its birth, and does by such act prevent that child from being born alive, or causes it to die after its birth, shall, if such act be not caused in good faith for the purpose of saving the life of the mother, be punished with imprisonment of either description for a term which may extend to ten years, or with fine, or with both.",Non-Bailable,10 Years or Fine or Both,Court of Session,Cognizable
IPC Section 316,Causing death of a quick unborn child by an act amounting to culpable homicide,"Whoever does any act under such circumstances, that if he thereby caused death he would be guilty of culpable homicide, and does by such act cause the death of a quick unborn child, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,10 Years and Fine,Court of Session,Cognizable
IPC Section 317,Exposure of a child under 12 Years of age by parent or person having care of it with intention of wholly abandoning it,"Whoever being the father or mother of a child under the age of twelve years, or having the care of such child, shall expose or leave such child in any place with the intention of wholly abandoning such child, shall be punished with imprisonment of either description for a term which may extend to seven years, or with fine, or with both.",Bailable,7 Years or Fine or Both,Magistrate First Class; Session in M.P.,Cognizable
IPC Section 318,Concealment of birth by secret disposal of dead body,"Whoever, by secretly burying or otherwise disposing of the dead body of a child whether such child die before or after or during its birth, intentionally conceals or endeavors to conceal the birth of such child, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Magistrate First Class; Session in M.P.,Cognizable
IPC Section 319,,,,,,
IPC Section 320,,,,,,
IPC Section 321,,,,,,
IPC Section 322,,,,,,
IPC Section 323,Voluntarily causing hurt,,Bailable,1 Year or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 324,Voluntarily causing hurt by dangerous weapons or means,,Non-Bailable,3 Years or Fine or Both,Any Magistrate,Cognizable
IPC Section 325,Voluntarily causing grievous hurt,,Bailable,7 Years + Fine,Any Magistrate,Cognizable
IPC Section 326,Voluntarily causing grievous hurt by dangerous weapons or means,,Non-Bailable,Imprisonment for Life or 10 Years + Fine,Magistrate First Class; Session in M.P.,Cognizable
IPC Section 326A,,,"Voluntarily causing grievous hurt by use of acid, etc.",,10 years to Life + Fine paid to the victim,
IPC Section 326B,,,Cognizable,Voluntarily throwing or attempting to throw acid,Non-bailable,5 to 7 years + Fine
IPC Section 327,"Voluntarily causing hurt to extort property or a valuable security, or to constrain to do anything which is illegal or which may facilitate the commission of an offence","Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer, or from any person interested in the sufferer, any property or valuable security, or of constraining the sufferer or any person interested in such sufferer to do anything which is illegal or which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,10 Years + Fine,Magistrate First Class,Cognizable
IPC Section 328,"Administering stupefying drug with intent to cause hurt, etc.","Whoever administers to or causes to be taken by any person any poison or any stupefying, intoxicating or unwholesome drug, or other thing with intent to cause hurt to such person, or with intent to commit or to facilitate the commission of an offence or knowing it to be likely that he will thereby cause hurt, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,10 Years + Fine,Court of Session,Cognizable
IPC Section 329,"Voluntarily causing grievous hurt to extort property or a valuable security, or to constrain to do anything which is illegal, or which may facilitate the commission of an offence",,Non-Bailable,Imprisonment for Life or 10 Years + Fine,Court of Session,Cognizable
IPC Section 330,"Voluntarily causing hurt to extort confession or information of property, etc.","Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer or from any person interested in the sufferer, any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Bailable,7 Years + Fine,Magistrate First Class,Cognizable
IPC Section 331,"Voluntarily causing grievous hurt to extort confession or information or to compel restoration of property, etc.",,Non-Bailable,10 Years + Fine,Court of Session,Cognizable
IPC Section 332,Voluntarily causing hurt to deter public servant from his duty,"Whoever voluntarily causes hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",Non-Bailable,3 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 333,Voluntarily causing grievous hurt to deter public servant from his duty,,Non-Bailable,10 Years + Fine,Court of Session,Cognizable
IPC Section 334,"Voluntarily causing hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation","Whoever voluntarily causes hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause hurt to any person other than the person who gave the provocation, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.",Bailable,1 Month or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 335,"Causing grievous hurt on Grave and sudden provocation, not intending to hurt and other than the person who gave the provocation",,Bailable,4 Years or Fine or Both,Magistrate First Class,Cognizable
IPC Section 336,Doing any act which endangers human life or the personal safety of others,"Whoever does any act so rashly or negligently as to endanger human life or the personal safety others, shall be punished with imprisonment of either description for a term which may extend to three months or with fine which may extend to two hundred and fifty rupees, or with both.",Bailable,3 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 337,"Causing hurt by an act which endangers human life, etc.","Whoever causes hurt to any person by doing any act so rashly or negligently as to endanger human life, or the personal safety of others, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to five hundred rupees, or with both.",Bailable,6 Months or Fine or Both,Any Magistrate,Cognizable
IPC Section 338,"Causing grievous hurt by an act which endangers human life, etc.",,Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable
IPC Section 339,,,,,,
IPC Section 340,,,,,,
IPC Section 341,Wrongfully restraining any person,"Whoever wrongfully restrains any person shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.",Bailable,Simple Imprisonment for 1 Month or Fine or Both,Any Magistrate,Cognizable
IPC Section 342,Wrongfully confining any person,"Whoever wrongfully confines any person shall be punished with simple imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both.",Bailable,1 Year or Fine or Both,Any Magistrate,Cognizable
IPC Section 343,Wrongfully confining for 3 or more days,"Whoever wrongfully confines any person for three days or more, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable
IPC Section 344,Wrongfully confining for 10 or more days,"Whoever wrongfully confines any person for ten days, or more, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Bailable,3 Years + Fine,Any Magistrate,Cognizable
IPC Section 345,"Keeping any person in wrongful confinement, knowing that a writ has been issued for his liberation","Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter.",Bailable,2 Years in addition to imprisonment under any other section,Magistrate First Class,Cognizable
IPC Section 346,Wrongful confinement in secret,"Whoever wrongfully confines any person in such manner as to indicate an intention that the confinement of such person may not be known to any person interested in the person so confined, or to any public servant, or that the place of such confinement may not be known to or discovered by any such person or public servant as hereinbefore mentioned, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any other punishment to which he may be liable for such wrongful confinement.",Bailable,2 Years in addition to imprisonment under any other section,Magistrate First Class,Cognizable
IPC Section 347,"Wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc.","Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to give any information which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Bailable,3 Years + Fine,Any Magistrate,Cognizable
IPC Section 348,"Wrongful confinement for the purpose of extorting confession or information, or of compelling restoration of property etc.","Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.",Bailable,3 Years + Fine,Any Magistrate,Cognizable
IPC Section 349,,,,,,
IPC Section 350,,,,,,
IPC Section 351,,,,,,
IPC Section 352,Assault or use of criminal force otherwise than on grave provocation,"Whoever assaults or uses criminal force to any person otherwise than on grave and sudden provocation given by that person, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.",Bailable,3 Months or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 353,Assault or use of criminal force to deter a public servant from discharge of his duty,"Whoever assaults or uses criminal force to any person being a public servant in the execution of his duty as such public servant, or with intent to prevent or deter that person from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by such person to the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Non-Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable
IPC Section 354,,,Cognizable,Assault or use of criminal force to woman with intent to outrage her modesty,Non-bailable,1 to 5 years + Fine
IPC Section 354A,"
physical contact and advances involving unwelcome and explicit sexual overtures; or
a demand or request for sexual favours; or
showing pornography against the will of a woman; or
making sexually coloured remarks, shall be guilty of the offence of sexual harassment1.
","
A man committing any of the following acts—
		
physical contact and advances involving unwelcome and explicit sexual overtures; or
a demand or request for sexual favours; or
showing pornography against the will of a woman; or
making sexually coloured remarks, shall be guilty of the offence of sexual harassment1.

Any man who commits the offence specified in clause (i) or clause (ii) or clause (iii) of sub-section (1) shall be punished with rigorous imprisonment for a term which may extend to three years, or with fine, or with both.
Any man who commits the offence specified in clause (iv) of sub-section (1) shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.
","
Cognizable
Cognizable
","
Sexual harassment of the nature of unwelcome physical contact and advances or a demand or request for sexual favours or showing pornography
Sexual harassment of the nature of making sexually coloured remark
","
Bailable
Bailable
","
Upto 3 years or Fine or Both
Upto 1 year or Fine or Both
"
IPC Section 354B,,,Cognizable,Criminal force to woman with intent to disrobe,Non-bailable,3 to 7 years + Fine
IPC Section 354C,"
For the purpose of this section, “private act” includes an act of watching carried out in a place which, in the circumstances, would reasonably be expected to provide privacy and where the victim’s genitals, posterior or breasts are exposed or covered only in underwear; or the victim is using a lavatory; or the victim is doing a sexual act that is not of a kind ordinarily done in public.
Where the victim consents to the capture of the images or any act, but not to their dissemination to third persons and where such image or act is disseminated, such dissemination shall be considered an offence under this section.
",,"
Bailable
Non-bailable
","
1 to 3 years + Fine for first conviction
3 to 7 years + Fine for second or subsequent conviction
","
Any Magistrate
Any Magistrate
","
Cognizable
Cognizable
"
IPC Section 354D,"
it was pursued for the purpose of preventing or detecting crime and the man accused of stalking had been entrusted with the responsibility of prevention and detection of crime by the State; or
it was pursued under any law or to comply with any condition or requirement imposed by any person under any law; or
in the particular circumstances such conduct was reasonable and justified.
","
follows a woman and contacts, or attempts to contact such woman to foster personal interaction repeatedly despite a clear indication of disinterest by such woman; or
monitors the use by a woman of the internet, email or any other form of electronic communication,
commits the offence of stalking1;

Provided that such conduct shall not amount to stalking if the man who pursued it proves that—
		
it was pursued for the purpose of preventing or detecting crime and the man accused of stalking had been entrusted with the responsibility of prevention and detection of crime by the State; or
it was pursued under any law or to comply with any condition or requirement imposed by any person under any law; or
in the particular circumstances such conduct was reasonable and justified.

","
Bailable
Non-bailable
","
Upto 3 years + Fine for first conviction
Upto 5 years + Fine for second or subsequent conviction
","
Any Magistrate
Any Magistrate
","
Cognizable
Cognizable
"
IPC Section 355,"Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation","Whoever assaults or uses criminal force to any person, intending thereby to dishonour that person, otherwise than on grave and sudden provocation given by that person, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 356,Assault or criminal force in attempt to commit theft of property worn or carried by a person,"Whoever assaults or uses criminal force to any person, in attempting to commit theft on any property which that person is then wearing or carrying shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.",Bailable,2 Years or Fine or Both,Any Magistrate,Cognizable
IPC Section 357,Assault or use of criminal Force in attempt wrongfully to confine a person,"Whoever assaults or uses criminal force to any person, in attempting wrongfully to confine that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both.",Bailable,1 Year or Fine or Both,Any Magistrate,Cognizable
IPC Section 358,Assault or use of criminal force on grave and sudden provocation,"Whoever assaults or uses criminal force to any person on grave and sudden provocation given by that person, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.",Bailable,Simple Imprisonment for 1 Month or Fine or Both,Any Magistrate,Non-Cognizable
IPC Section 359,,,,,,
IPC Section 360,,,,,,
IPC Section 361,,,,,,
IPC Section 362,,,,,,
IPC Section 363,Kidnapping,"Whoever kidnaps any person from India or from lawful guardianship, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",Bailable,7 Years + Fine,Magistrate First Class,Cognizable
IPC Section 363A,"
“begging” means:
			
soliciting or receiving alms in a public place, whether under the pretence of singing, dancing, fortunetelling, performing tricks or selling articles or otherwise;
entering on any private premises for the purpose of soliciting or receiving alms;
exposing or exhibiting, with the object of obtaining or extorting alms, any sore, wound, injury, deformity or disease, whether of himself or of any other person or of an animal;
using a minor as an exhibit for the purpose of soliciting or receiving alms;

“minor” means:
			
in the case of a male, a person under sixteen years of age; and
in the case of a female, a person under eighteen years of age.

","
Whoever kidnaps any minor or, not being the lawful guardian of a minor, obtains the custody of the minor, in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.
Whoever maims any minor in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment for life, and shall also be liable to fine.
Where any person, not being the lawful guardian of a minor, employs or uses such minor for the purposes of begging, it shall be presumed, unless the contrary is proved, that he kidnapped or otherwise obtained the custody of that minor in order that the minor might be employed or used for the purposes of begging.
In this section
		
“begging” means:
			
soliciting or receiving alms in a public place, whether under the pretence of singing, dancing, fortunetelling, performing tricks or selling articles or otherwise;
entering on any private premises for the purpose of soliciting or receiving alms;
exposing or exhibiting, with the object of obtaining or extorting alms, any sore, wound, injury, deformity or disease, whether of himself or of any other person or of an animal;
using a minor as an exhibit for the purpose of soliciting or receiving alms;

“minor” means:
			
in the case of a male, a person under sixteen years of age; and
in the case of a female, a person under eighteen years of age.


","
Kidnapping or obtaining the custody of a minor in order that such minor may be employed or used for purposes of begging
Maiming a minor in order that such minor may be employed or used for purposes of begging
","
soliciting or receiving alms in a public place, whether under the pretence of singing, dancing, fortunetelling, performing tricks or selling articles or otherwise;
entering on any private premises for the purpose of soliciting or receiving alms;
exposing or exhibiting, with the object of obtaining or extorting alms, any sore, wound, injury, deformity or disease, whether of himself or of any other person or of an animal;
using a minor as an exhibit for the purpose of soliciting or receiving alms;
","
10 Years + Fine.
Imprisonment for Life + Fine
","
in the case of a male, a person under sixteen years of age; and
in the case of a female, a person under eighteen years of age.
"
IPC Section 364,Kidnapping or abducting in order to murder,"Whoever kidnaps or abducts any person in order that such person may be murdered or may be so disposed of as to be put in danger of being murdered, shall be punished with imprisonment for life or rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.",Non-Bailable,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,Court of Session,Cognizable
